entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
1.3630418658256531,0.1,,,,,,,,2.0308384895324707,0.00016,2.0928,0.7354375720024109,22499.0,5,,,,,
1.9522293299436568,0.2,,,,,,,,0.6924745440483093,0.00019912640693269752,0.6105,0.8492731943726539,44509.0,10,,,,,
1.6913363337516785,0.3,,,,,,,,0.44338497519493103,0.00019560357815343577,0.1843,0.9531932920217514,66460.0,15,,,,,
1.1223358899354934,0.4,,,,,,,,0.5530139803886414,0.00018947293298207635,0.0305,0.9929800480604172,88613.0,20,,,,,
0.8644662827253342,0.5,,,,,,,,0.3621838092803955,0.00018090169943749476,0.0275,0.9943946018815041,22018.0,25,,,,,
0.7629558190703392,0.6,,,,,,,,0.1138080358505249,0.00017012367842724887,0.0254,0.9952844187617302,44259.0,30,,,,,
0.7166178748011589,0.7,,,,,,,,0.07514917850494385,0.00015743286626829437,0.008,0.9973040416836738,66832.0,35,,,,,
0.7057429760694504,0.8,,,,,,,,0.12836788594722748,0.00014317543523384928,0.0098,0.9966574743390083,89086.0,40,,,,,
0.6948607847094536,0.9,,,,,,,,0.08166865259408951,0.00012774029087618446,0.0061,0.9976951614022255,111304.0,45,,,,,
0.6976525038480759,1.0,,,,,,,,0.0647851750254631,0.00011154846369695863,0.0021,0.9994360238313675,133137.0,50,,,,,
,1.0,0.6872976578772068,0.0036062703002244234,0.9987323530018329,133137.0,199.6243,0.401,0.401,,,,,,50,,,,,
0.6796791926026344,1.1,,,,,,,,0.12658363580703735,9.504162453267777e-05,0.003,0.9992343008518219,155790.0,55,,,,,
0.6860243260860444,1.2,,,,,,,,0.10583899170160294,7.867003692562534e-05,0.0031,0.9988755330443382,177890.0,60,,,,,
0.6796400576829911,1.3,,,,,,,,0.0661434531211853,6.28802751081779e-05,0.0035,0.9986498966813088,200390.0,65,,,,,
0.6863813176751137,1.4,,,,,,,,0.10496290028095245,4.810304262187852e-05,0.0024,0.9993832245469093,222689.0,70,,,,,
0.6944873854517937,1.5,,,,,,,,0.00491680484265089,3.4741423847583134e-05,0.0027,0.9988699659705162,244312.0,75,,,,,
0.6814599186182022,1.6,,,,,,,,0.02468651346862316,2.315988891431412e-05,0.0027,0.9985359653830528,266727.0,80,,,,,
0.6844070613384247,1.7,,,,,,,,0.06463970988988876,1.3674351904242611e-05,0.0026,0.998726113140583,289046.0,85,,,,,
0.6862813472747803,1.8,,,,,,,,0.032903485000133514,6.543553540053926e-06,0.0026,0.9986783683300018,311122.0,90,,,,,
0.6908299446105957,1.9,,,,,,,,0.004264692775905132,1.9620034125190644e-06,0.0008,0.9996389850974083,332912.0,95,,,,,
0.6893546253442764,2.0,,,,,,,,0.10270531475543976,5.467426590739511e-08,0.0028,0.9984570175409317,354887.0,100,,,,,
,2.0,0.6827367395162582,0.0018770787864923477,0.9991314157843589,354887.0,199.4319,0.401,0.401,,,,,,100,,,,,
,2.0,,,,,,,,,,,,,100,9756668474880000.0,0.00525831388309598,5845.1738,0.137,0.017
